SUB_ID,cohort,model_name,output_type,F1
MWC_103,MWC,ishare_only,Cluster,0.6447368421052632
MWC_104,MWC,ishare_only,Cluster,0.810126582278481
MWC_105,MWC,ishare_only,Cluster,0.8118811881188119
MWC_106,MWC,ishare_only,Cluster,0.5454545454545454
MWC_107,MWC,ishare_only,Cluster,0.8
MWC_108,MWC,ishare_only,Cluster,0.7894736842105263
MWC_110,MWC,ishare_only,Cluster,0.6746987951807228
MWC_112,MWC,ishare_only,Cluster,0.8309859154929577
MWC_113,MWC,ishare_only,Cluster,0.8421052631578947
MWC_114,MWC,ishare_only,Cluster,0.8050314465408805
MWC_115,MWC,ishare_only,Cluster,0.75
MWC_116,MWC,ishare_only,Cluster,0.475
MWC_11,MWC,ishare_only,Cluster,0.6491228070175439
MWC_126,MWC,ishare_only,Cluster,0.6055045871559633
MWC_137,MWC,ishare_only,Cluster,0.8054607508532423
MWC_144,MWC,ishare_only,Cluster,0.7464788732394366
MWC_17,MWC,ishare_only,Cluster,0.4927536231884058
MWC_19,MWC,ishare_only,Cluster,0.6111111111111112
MWC_23,MWC,ishare_only,Cluster,0.4
MWC_25,MWC,ishare_only,Cluster,0.4675324675324675
MWC_27,MWC,ishare_only,Cluster,0.392156862745098
MWC_29,MWC,ishare_only,Cluster,0.5413533834586466
MWC_2,MWC,ishare_only,Cluster,0.7228915662650602
MWC_35,MWC,ishare_only,Cluster,0.5161290322580645
MWC_37,MWC,ishare_only,Cluster,0.5302325581395348
MWC_39,MWC,ishare_only,Cluster,0.6666666666666666
MWC_41,MWC,ishare_only,Cluster,0.6825396825396826
MWC_49,MWC,ishare_only,Cluster,0.6666666666666666
MWC_4,MWC,ishare_only,Cluster,0.4901960784313726
MWC_50,MWC,ishare_only,Cluster,0.6820809248554913
MWC_52,MWC,ishare_only,Cluster,0.7692307692307693
MWC_53,MWC,ishare_only,Cluster,0.7586206896551724
MWC_55,MWC,ishare_only,Cluster,0.4782608695652174
MWC_56,MWC,ishare_only,Cluster,0.5681818181818182
MWC_58,MWC,ishare_only,Cluster,0.2857142857142857
MWC_59,MWC,ishare_only,Cluster,0.6909090909090909
MWC_60,MWC,ishare_only,Cluster,0.463768115942029
MWC_61,MWC,ishare_only,Cluster,0.5
MWC_63,MWC,ishare_only,Cluster,0.6222222222222222
MWC_64,MWC,ishare_only,Cluster,0.7415730337078652
MWC_65,MWC,ishare_only,Cluster,0.7058823529411765
MWC_66,MWC,ishare_only,Cluster,0.7375886524822695
MWC_67,MWC,ishare_only,Cluster,0.5806451612903226
MWC_68,MWC,ishare_only,Cluster,0.6097560975609756
MWC_69,MWC,ishare_only,Cluster,0.5979381443298969
MWC_6,MWC,ishare_only,Cluster,0.4
MWC_8,MWC,ishare_only,Cluster,0.6666666666666666
MWC_0,MWC,ishare_only,Voxel,0.07520409004700256
MWC_101,MWC,ishare_only,Voxel,0.21795705920624597
MWC_102,MWC,ishare_only,Voxel,0.5329566854990584
MWC_103,MWC,ishare_only,Voxel,0.23010071474983756
MWC_104,MWC,ishare_only,Voxel,0.2685775579524462
MWC_105,MWC,ishare_only,Voxel,0.2909230769230769
MWC_106,MWC,ishare_only,Voxel,0.1828393135725429
MWC_107,MWC,ishare_only,Voxel,0.2776850306065665
MWC_108,MWC,ishare_only,Voxel,0.48548094373865697
MWC_110,MWC,ishare_only,Voxel,0.5197032916087158
MWC_112,MWC,ishare_only,Voxel,0.4878367773999477
MWC_113,MWC,ishare_only,Voxel,0.3188297911936577
MWC_114,MWC,ishare_only,Voxel,0.3471382952591501
MWC_115,MWC,ishare_only,Voxel,0.36765058795296374
MWC_116,MWC,ishare_only,Voxel,0.5133657351154314
MWC_11,MWC,ishare_only,Voxel,0.440829346092504
MWC_126,MWC,ishare_only,Voxel,0.1955919813932883
MWC_137,MWC,ishare_only,Voxel,0.563537650483909
